Epoch: 1/100, Train Loss: 0.9312, Val Loss: 0.9115
Epoch: 2/100, Train Loss: 0.8871, Val Loss: 0.8663
Epoch: 3/100, Train Loss: 0.8361, Val Loss: 0.8086
Epoch: 4/100, Train Loss: 0.7618, Val Loss: 0.7387
Epoch: 5/100, Train Loss: 0.6778, Val Loss: 0.6273
Epoch: 6/100, Train Loss: 0.5927, Val Loss: 0.5514
Epoch: 7/100, Train Loss: 0.4802, Val Loss: 0.4345
Epoch: 8/100, Train Loss: 0.3984, Val Loss: 0.3592
Epoch: 9/100, Train Loss: 0.3328, Val Loss: 0.3082
Epoch: 10/100, Train Loss: 0.2916, Val Loss: 0.3022
Epoch: 11/100, Train Loss: 0.2935, Val Loss: 0.2425
Epoch: 12/100, Train Loss: 0.2267, Val Loss: 0.2105
Epoch: 13/100, Train Loss: 0.1981, Val Loss: 0.1887
Epoch: 14/100, Train Loss: 0.1829, Val Loss: 0.1749
Epoch: 15/100, Train Loss: 0.1689, Val Loss: 0.1691
Epoch: 16/100, Train Loss: 0.1553, Val Loss: 0.1472
Epoch: 17/100, Train Loss: 0.1552, Val Loss: 0.1574
Epoch: 18/100, Train Loss: 0.1458, Val Loss: 0.1415
Epoch: 19/100, Train Loss: 0.1344, Val Loss: 0.1325
Epoch: 20/100, Train Loss: 0.1325, Val Loss: 0.1353
Epoch: 21/100, Train Loss: 0.1386, Val Loss: 0.1256
Epoch: 22/100, Train Loss: 0.1208, Val Loss: 0.1244
Epoch: 23/100, Train Loss: 0.1176, Val Loss: 0.1543
Epoch: 24/100, Train Loss: 0.1658, Val Loss: 0.1304
Epoch: 25/100, Train Loss: 0.1274, Val Loss: 0.1221
Epoch: 26/100, Train Loss: 0.1159, Val Loss: 0.1158
Epoch: 27/100, Train Loss: 0.1112, Val Loss: 0.1112
Epoch: 28/100, Train Loss: 0.1102, Val Loss: 0.1062
Epoch: 29/100, Train Loss: 0.1063, Val Loss: 0.1404
Epoch: 30/100, Train Loss: 0.1583, Val Loss: 0.1168
Epoch: 31/100, Train Loss: 0.1057, Val Loss: 0.1046
Epoch: 32/100, Train Loss: 0.0973, Val Loss: 0.1016
Epoch: 33/100, Train Loss: 0.0943, Val Loss: 0.0993
Epoch: 34/100, Train Loss: 0.0922, Val Loss: 0.0972
Epoch: 35/100, Train Loss: 0.0885, Val Loss: 0.1029
Epoch: 36/100, Train Loss: 0.0891, Val Loss: 0.0967
Epoch: 37/100, Train Loss: 0.0869, Val Loss: 0.0952
Epoch: 38/100, Train Loss: 0.0839, Val Loss: 0.0973
Epoch: 39/100, Train Loss: 0.0808, Val Loss: 0.0935
