Epoch: 1/100, Train Loss: 0.9420, Val Loss: 0.9264
Epoch: 2/100, Train Loss: 0.9116, Val Loss: 0.8949
Epoch: 3/100, Train Loss: 0.8691, Val Loss: 0.8402
Epoch: 4/100, Train Loss: 0.7956, Val Loss: 0.7534
Epoch: 5/100, Train Loss: 0.6725, Val Loss: 0.5904
Epoch: 6/100, Train Loss: 0.4940, Val Loss: 0.3837
Epoch: 7/100, Train Loss: 0.3097, Val Loss: 0.2928
Epoch: 8/100, Train Loss: 0.2418, Val Loss: 0.2022
Epoch: 9/100, Train Loss: 0.1867, Val Loss: 0.1829
Epoch: 10/100, Train Loss: 0.1590, Val Loss: 0.1569
Epoch: 11/100, Train Loss: 0.1467, Val Loss: 0.1764
Epoch: 12/100, Train Loss: 0.1377, Val Loss: 0.1654
Epoch: 13/100, Train Loss: 0.1308, Val Loss: 0.1398
Epoch: 14/100, Train Loss: 0.1197, Val Loss: 0.1239
Epoch: 15/100, Train Loss: 0.1168, Val Loss: 0.1220
Epoch: 16/100, Train Loss: 0.1127, Val Loss: 0.1240
Epoch: 17/100, Train Loss: 0.1028, Val Loss: 0.1195
Epoch: 18/100, Train Loss: 0.0973, Val Loss: 0.1065
Epoch: 19/100, Train Loss: 0.0954, Val Loss: 0.1136
Epoch: 20/100, Train Loss: 0.0916, Val Loss: 0.1199
Epoch: 21/100, Train Loss: 0.0915, Val Loss: 0.1129
Epoch: 22/100, Train Loss: 0.0854, Val Loss: 0.1088
Epoch: 23/100, Train Loss: 0.0848, Val Loss: 0.0974
Epoch: 24/100, Train Loss: 0.0828, Val Loss: 0.1110
Epoch: 25/100, Train Loss: 0.0943, Val Loss: 0.1022
Epoch: 26/100, Train Loss: 0.0837, Val Loss: 0.1227
Epoch: 27/100, Train Loss: 0.0778, Val Loss: 0.0997
Epoch: 28/100, Train Loss: 0.0772, Val Loss: 0.0962
Epoch: 29/100, Train Loss: 0.0737, Val Loss: 0.1049
Epoch: 30/100, Train Loss: 0.0753, Val Loss: 0.1005
