Epoch: 1/100, Train Loss: 0.5409, Val Loss: 0.2866
Epoch: 2/100, Train Loss: 0.2377, Val Loss: 0.2017
Epoch: 3/100, Train Loss: 0.1841, Val Loss: 0.1949
Epoch: 4/100, Train Loss: 0.1594, Val Loss: 0.1622
Epoch: 5/100, Train Loss: 0.1419, Val Loss: 0.1503
Epoch: 6/100, Train Loss: 0.1313, Val Loss: 0.1514
Epoch: 7/100, Train Loss: 0.1361, Val Loss: 0.2813
Epoch: 8/100, Train Loss: 0.1514, Val Loss: 0.2004
Epoch: 9/100, Train Loss: 0.1420, Val Loss: 0.1436
Epoch: 10/100, Train Loss: 0.1138, Val Loss: 0.1194
Epoch: 11/100, Train Loss: 0.1056, Val Loss: 0.1284
Epoch: 12/100, Train Loss: 0.0991, Val Loss: 0.1385
Epoch: 13/100, Train Loss: 0.0993, Val Loss: 0.1365
Epoch: 14/100, Train Loss: 0.0954, Val Loss: 0.1560
Epoch: 15/100, Train Loss: 0.0910, Val Loss: 0.1344
Epoch: 16/100, Train Loss: 0.0900, Val Loss: 0.1367
Epoch: 17/100, Train Loss: 0.0904, Val Loss: 0.1377
Epoch: 18/100, Train Loss: 0.0973, Val Loss: 0.1519
Epoch: 19/100, Train Loss: 0.0893, Val Loss: 0.1243
Epoch: 20/100, Train Loss: 0.0833, Val Loss: 0.1254
Epoch: 21/100, Train Loss: 0.0804, Val Loss: 0.1216
Epoch: 22/100, Train Loss: 0.0787, Val Loss: 0.1236
Epoch: 23/100, Train Loss: 0.0861, Val Loss: 0.1235
Epoch: 24/100, Train Loss: 0.0777, Val Loss: 0.1371
Epoch: 25/100, Train Loss: 0.0748, Val Loss: 0.1280
Epoch: 26/100, Train Loss: 0.1016, Val Loss: 0.1371
Epoch: 27/100, Train Loss: 0.2136, Val Loss: 0.4545
Epoch: 28/100, Train Loss: 0.1808, Val Loss: 0.2225
Epoch: 29/100, Train Loss: 0.1990, Val Loss: 0.1580
Epoch: 30/100, Train Loss: 0.1302, Val Loss: 0.1363
Epoch: 31/100, Train Loss: 0.1100, Val Loss: 0.1257
Epoch: 32/100, Train Loss: 0.0983, Val Loss: 0.1313
Epoch: 33/100, Train Loss: 0.0915, Val Loss: 0.1471
Epoch: 34/100, Train Loss: 0.0883, Val Loss: 0.1128
Epoch: 35/100, Train Loss: 0.0837, Val Loss: 0.1137
Epoch: 36/100, Train Loss: 0.0778, Val Loss: 0.1433
Epoch: 37/100, Train Loss: 0.0746, Val Loss: 0.1177
Epoch: 38/100, Train Loss: 0.0778, Val Loss: 0.1148
Epoch: 39/100, Train Loss: 0.0959, Val Loss: 0.1257
Epoch: 40/100, Train Loss: 0.0834, Val Loss: 0.1334
Epoch: 41/100, Train Loss: 0.0762, Val Loss: 0.1196
Epoch: 42/100, Train Loss: 0.0749, Val Loss: 0.1196
Epoch: 43/100, Train Loss: 0.0726, Val Loss: 0.1201
Epoch: 44/100, Train Loss: 0.0690, Val Loss: 0.1139
