Epoch: 1/100, Train Loss: 0.9965, Val Loss: 0.8018
Epoch: 2/100, Train Loss: 0.5443, Val Loss: 0.2827
Epoch: 3/100, Train Loss: 0.3253, Val Loss: 0.2268
Epoch: 4/100, Train Loss: 0.2958, Val Loss: 0.2136
Epoch: 5/100, Train Loss: 0.2719, Val Loss: 0.2292
Epoch: 6/100, Train Loss: 0.2662, Val Loss: 0.2016
Epoch: 7/100, Train Loss: 0.2491, Val Loss: 0.2056
Epoch: 8/100, Train Loss: 0.2546, Val Loss: 0.2303
Epoch: 9/100, Train Loss: 0.2569, Val Loss: 0.2558
Epoch: 10/100, Train Loss: 0.2497, Val Loss: 0.2104
Epoch: 11/100, Train Loss: 0.3061, Val Loss: 0.2430
Epoch: 12/100, Train Loss: 0.2526, Val Loss: 0.2111
Epoch: 13/100, Train Loss: 0.2323, Val Loss: 0.1726
Epoch: 14/100, Train Loss: 0.2362, Val Loss: 0.2040
Epoch: 15/100, Train Loss: 0.2304, Val Loss: 0.1780
Epoch: 16/100, Train Loss: 0.2099, Val Loss: 0.1732
Epoch: 17/100, Train Loss: 0.2084, Val Loss: 0.1657
Epoch: 18/100, Train Loss: 0.1989, Val Loss: 0.1609
Epoch: 19/100, Train Loss: 0.2049, Val Loss: 0.2056
Epoch: 20/100, Train Loss: 0.1983, Val Loss: 0.1682
Epoch: 21/100, Train Loss: 0.1892, Val Loss: 0.1917
Epoch: 22/100, Train Loss: 0.1835, Val Loss: 0.1502
Epoch: 23/100, Train Loss: 0.2139, Val Loss: 0.1558
Epoch: 24/100, Train Loss: 0.1924, Val Loss: 0.1565
Epoch: 25/100, Train Loss: 0.1894, Val Loss: 0.1584
Epoch: 26/100, Train Loss: 0.1714, Val Loss: 0.1512
Epoch: 27/100, Train Loss: 0.1861, Val Loss: 0.1700
Epoch: 28/100, Train Loss: 0.1674, Val Loss: 0.2187
Epoch: 29/100, Train Loss: 0.1759, Val Loss: 0.1541
Epoch: 30/100, Train Loss: 0.1595, Val Loss: 0.1551
Epoch: 31/100, Train Loss: 0.1630, Val Loss: 0.1469
Epoch: 32/100, Train Loss: 0.1700, Val Loss: 0.1600
Epoch: 33/100, Train Loss: 0.1534, Val Loss: 0.1385
Epoch: 34/100, Train Loss: 0.1465, Val Loss: 0.1454
Epoch: 35/100, Train Loss: 0.1534, Val Loss: 0.1419
Epoch: 36/100, Train Loss: 0.1685, Val Loss: 0.1445
Epoch: 37/100, Train Loss: 0.1475, Val Loss: 0.1426
Epoch: 38/100, Train Loss: 0.1521, Val Loss: 0.1592
Epoch: 39/100, Train Loss: 0.1598, Val Loss: 0.1532
Epoch: 40/100, Train Loss: 0.1422, Val Loss: 0.1471
Epoch: 41/100, Train Loss: 0.1479, Val Loss: 0.1537
Epoch: 42/100, Train Loss: 0.1734, Val Loss: 0.1504
Epoch: 43/100, Train Loss: 0.1403, Val Loss: 0.1421
Epoch: 44/100, Train Loss: 0.1437, Val Loss: 0.1725
Epoch: 45/100, Train Loss: 0.1458, Val Loss: 0.1390
Epoch: 46/100, Train Loss: 0.1284, Val Loss: 0.1370
Epoch: 47/100, Train Loss: 0.1368, Val Loss: 0.2750
Epoch: 48/100, Train Loss: 0.1511, Val Loss: 0.1252
Epoch: 49/100, Train Loss: 0.1330, Val Loss: 0.1375
Epoch: 50/100, Train Loss: 0.1472, Val Loss: 0.1803
Epoch: 51/100, Train Loss: 0.1310, Val Loss: 0.1738
Epoch: 52/100, Train Loss: 0.1312, Val Loss: 0.1439
Epoch: 53/100, Train Loss: 0.1389, Val Loss: 0.1265
Epoch: 54/100, Train Loss: 0.1326, Val Loss: 0.1215
Epoch: 55/100, Train Loss: 0.1370, Val Loss: 0.1309
Epoch: 56/100, Train Loss: 0.1301, Val Loss: 0.1675
Epoch: 57/100, Train Loss: 0.1257, Val Loss: 0.1353
Epoch: 58/100, Train Loss: 0.1203, Val Loss: 0.1272
Epoch: 59/100, Train Loss: 0.1319, Val Loss: 0.1339
Epoch: 60/100, Train Loss: 0.1246, Val Loss: 0.1448
Epoch: 61/100, Train Loss: 0.1265, Val Loss: 0.1422
Epoch: 62/100, Train Loss: 0.1150, Val Loss: 0.1256
Epoch: 63/100, Train Loss: 0.1166, Val Loss: 0.2187
Epoch: 64/100, Train Loss: 0.1346, Val Loss: 0.1899
Epoch: 65/100, Train Loss: 0.1235, Val Loss: 0.1299
Epoch: 66/100, Train Loss: 0.1181, Val Loss: 0.1392
Epoch: 67/100, Train Loss: 0.1119, Val Loss: 0.1211
