Epoch: 1/100, Train Loss: 0.6183, Val Loss: 0.3239
Epoch: 2/100, Train Loss: 0.3346, Val Loss: 0.2590
Epoch: 3/100, Train Loss: 0.2872, Val Loss: 0.2300
Epoch: 4/100, Train Loss: 0.2961, Val Loss: 0.4566
Epoch: 5/100, Train Loss: 0.3424, Val Loss: 0.2547
Epoch: 6/100, Train Loss: 0.2811, Val Loss: 0.2141
Epoch: 7/100, Train Loss: 0.2731, Val Loss: 0.2515
Epoch: 8/100, Train Loss: 0.2616, Val Loss: 0.2104
Epoch: 9/100, Train Loss: 0.2634, Val Loss: 0.1991
Epoch: 10/100, Train Loss: 0.2434, Val Loss: 0.1912
Epoch: 11/100, Train Loss: 0.2485, Val Loss: 0.1821
Epoch: 12/100, Train Loss: 0.2528, Val Loss: 0.2223
Epoch: 13/100, Train Loss: 0.2289, Val Loss: 0.1900
Epoch: 14/100, Train Loss: 0.2250, Val Loss: 0.2024
Epoch: 15/100, Train Loss: 0.2485, Val Loss: 0.1986
Epoch: 16/100, Train Loss: 0.2401, Val Loss: 0.1904
Epoch: 17/100, Train Loss: 0.2338, Val Loss: 0.1820
Epoch: 18/100, Train Loss: 0.2397, Val Loss: 0.1991
Epoch: 19/100, Train Loss: 0.2226, Val Loss: 0.1811
Epoch: 20/100, Train Loss: 0.2144, Val Loss: 0.1634
Epoch: 21/100, Train Loss: 0.2193, Val Loss: 0.1726
Epoch: 22/100, Train Loss: 0.2024, Val Loss: 0.1590
Epoch: 23/100, Train Loss: 0.2002, Val Loss: 0.2117
Epoch: 24/100, Train Loss: 0.2049, Val Loss: 0.1630
Epoch: 25/100, Train Loss: 0.1998, Val Loss: 0.1813
Epoch: 26/100, Train Loss: 0.1896, Val Loss: 0.1562
Epoch: 27/100, Train Loss: 0.1819, Val Loss: 0.1815
Epoch: 28/100, Train Loss: 0.1770, Val Loss: 0.5386
Epoch: 29/100, Train Loss: 0.2439, Val Loss: 0.1790
Epoch: 30/100, Train Loss: 0.1855, Val Loss: 0.1480
Epoch: 31/100, Train Loss: 0.1778, Val Loss: 0.1447
Epoch: 32/100, Train Loss: 0.1730, Val Loss: 0.1528
Epoch: 33/100, Train Loss: 0.1850, Val Loss: 0.1441
Epoch: 34/100, Train Loss: 0.1745, Val Loss: 0.1718
Epoch: 35/100, Train Loss: 0.1581, Val Loss: 0.1599
Epoch: 36/100, Train Loss: 0.1712, Val Loss: 0.1476
Epoch: 37/100, Train Loss: 0.2516, Val Loss: 0.1775
Epoch: 38/100, Train Loss: 0.1554, Val Loss: 0.1261
Epoch: 39/100, Train Loss: 0.1719, Val Loss: 0.1467
Epoch: 40/100, Train Loss: 0.1565, Val Loss: 0.1402
Epoch: 41/100, Train Loss: 0.1744, Val Loss: 0.1562
Epoch: 42/100, Train Loss: 0.1700, Val Loss: 0.1321
Epoch: 43/100, Train Loss: 0.1576, Val Loss: 0.1546
Epoch: 44/100, Train Loss: 0.1800, Val Loss: 0.1429
Epoch: 45/100, Train Loss: 0.1472, Val Loss: 0.1440
Epoch: 46/100, Train Loss: 0.1815, Val Loss: 0.1420
Epoch: 47/100, Train Loss: 0.1547, Val Loss: 0.1469
Epoch: 48/100, Train Loss: 0.1807, Val Loss: 0.1443
Epoch: 49/100, Train Loss: 0.1528, Val Loss: 0.1292
Epoch: 50/100, Train Loss: 0.1516, Val Loss: 0.1393
Epoch: 51/100, Train Loss: 0.1457, Val Loss: 0.1531
Epoch: 52/100, Train Loss: 0.1422, Val Loss: 0.1493
Epoch: 53/100, Train Loss: 0.1598, Val Loss: 0.1397
Epoch: 54/100, Train Loss: 0.1578, Val Loss: 0.1522
Epoch: 55/100, Train Loss: 0.1380, Val Loss: 0.2322
Epoch: 56/100, Train Loss: 0.1508, Val Loss: 0.1432
Epoch: 57/100, Train Loss: 0.1397, Val Loss: 0.1740
Epoch: 58/100, Train Loss: 0.1509, Val Loss: 0.1493
Epoch: 59/100, Train Loss: 0.1646, Val Loss: 0.2106
Epoch: 60/100, Train Loss: 0.1555, Val Loss: 0.1570
Epoch: 61/100, Train Loss: 0.1345, Val Loss: 0.1182
Epoch: 62/100, Train Loss: 0.1218, Val Loss: 0.1193
Epoch: 63/100, Train Loss: 0.1972, Val Loss: 0.1244
Epoch: 64/100, Train Loss: 0.1599, Val Loss: 0.1502
Epoch: 65/100, Train Loss: 0.1397, Val Loss: 0.1305
Epoch: 66/100, Train Loss: 0.1280, Val Loss: 0.1181
Epoch: 67/100, Train Loss: 0.1378, Val Loss: 0.1188
Epoch: 68/100, Train Loss: 0.1405, Val Loss: 0.1309
Epoch: 69/100, Train Loss: 0.1324, Val Loss: 0.1167
Epoch: 70/100, Train Loss: 0.1272, Val Loss: 0.1631
Epoch: 71/100, Train Loss: 0.1334, Val Loss: 0.1094
Epoch: 72/100, Train Loss: 0.1241, Val Loss: 0.1101
Epoch: 73/100, Train Loss: 0.1291, Val Loss: 0.1223
Epoch: 74/100, Train Loss: 0.1339, Val Loss: 0.1934
Epoch: 75/100, Train Loss: 0.1480, Val Loss: 0.1291
Epoch: 76/100, Train Loss: 0.1206, Val Loss: 0.1636
Epoch: 77/100, Train Loss: 0.1317, Val Loss: 0.1249
Epoch: 78/100, Train Loss: 0.1284, Val Loss: 0.1457
Epoch: 79/100, Train Loss: 0.1290, Val Loss: 0.1290
Epoch: 80/100, Train Loss: 0.1259, Val Loss: 0.1425
Epoch: 81/100, Train Loss: 0.1373, Val Loss: 0.2905
Epoch: 82/100, Train Loss: 0.1402, Val Loss: 0.1241
Epoch: 83/100, Train Loss: 0.1241, Val Loss: 0.1567
Epoch: 84/100, Train Loss: 0.1251, Val Loss: 0.1244
Epoch: 85/100, Train Loss: 0.1224, Val Loss: 0.1163
Epoch: 86/100, Train Loss: 0.1276, Val Loss: 0.1863
Epoch: 87/100, Train Loss: 0.1577, Val Loss: 0.1224
Epoch: 88/100, Train Loss: 0.1265, Val Loss: 0.1400
Epoch: 89/100, Train Loss: 0.1237, Val Loss: 0.1142
Epoch: 90/100, Train Loss: 0.1201, Val Loss: 0.1186
Epoch: 91/100, Train Loss: 0.1203, Val Loss: 0.1306
Epoch: 92/100, Train Loss: 0.1165, Val Loss: 0.1209
Epoch: 93/100, Train Loss: 0.1232, Val Loss: 0.1652
Epoch: 94/100, Train Loss: 0.1281, Val Loss: 0.1125
Epoch: 95/100, Train Loss: 0.1187, Val Loss: 0.1232
Epoch: 96/100, Train Loss: 0.1148, Val Loss: 0.1053
Epoch: 97/100, Train Loss: 0.1198, Val Loss: 0.1127
Epoch: 98/100, Train Loss: 0.1282, Val Loss: 0.1179
Epoch: 99/100, Train Loss: 0.1463, Val Loss: 0.1285
Epoch: 100/100, Train Loss: 0.1218, Val Loss: 0.1113
