Epoch: 1/100, Train Loss: 0.9603, Val Loss: 0.9581
Epoch: 2/100, Train Loss: 0.9516, Val Loss: 0.9518
Epoch: 3/100, Train Loss: 0.9462, Val Loss: 0.9417
Epoch: 4/100, Train Loss: 0.9401, Val Loss: 0.9346
Epoch: 5/100, Train Loss: 0.9316, Val Loss: 0.9322
Epoch: 6/100, Train Loss: 0.9199, Val Loss: 0.9304
Epoch: 7/100, Train Loss: 0.9021, Val Loss: 0.8812
Epoch: 8/100, Train Loss: 0.8811, Val Loss: 0.8544
Epoch: 9/100, Train Loss: 0.8435, Val Loss: 0.8308
Epoch: 10/100, Train Loss: 0.7909, Val Loss: 0.7906
Epoch: 11/100, Train Loss: 0.7347, Val Loss: 0.7657
Epoch: 12/100, Train Loss: 0.6672, Val Loss: 0.6180
Epoch: 13/100, Train Loss: 0.5604, Val Loss: 0.4970
Epoch: 14/100, Train Loss: 0.4656, Val Loss: 0.4472
Epoch: 15/100, Train Loss: 0.3899, Val Loss: 0.3567
Epoch: 16/100, Train Loss: 0.3380, Val Loss: 0.3092
Epoch: 17/100, Train Loss: 0.2941, Val Loss: 0.2869
Epoch: 18/100, Train Loss: 0.2701, Val Loss: 0.2699
Epoch: 19/100, Train Loss: 0.2310, Val Loss: 0.2098
Epoch: 20/100, Train Loss: 0.2180, Val Loss: 0.2010
Epoch: 21/100, Train Loss: 0.1845, Val Loss: 0.1840
Epoch: 22/100, Train Loss: 0.1740, Val Loss: 0.2854
Epoch: 23/100, Train Loss: 0.2287, Val Loss: 0.2134
Epoch: 24/100, Train Loss: 0.1901, Val Loss: 0.2061
Epoch: 25/100, Train Loss: 0.1848, Val Loss: 0.1612
Epoch: 26/100, Train Loss: 0.1682, Val Loss: 0.1965
Epoch: 27/100, Train Loss: 0.1617, Val Loss: 0.1536
Epoch: 28/100, Train Loss: 0.1664, Val Loss: 0.1423
Epoch: 29/100, Train Loss: 0.1326, Val Loss: 0.1539
Epoch: 30/100, Train Loss: 0.1357, Val Loss: 0.1366
Epoch: 31/100, Train Loss: 0.1259, Val Loss: 0.1335
Epoch: 32/100, Train Loss: 0.1336, Val Loss: 0.1352
Epoch: 33/100, Train Loss: 0.1219, Val Loss: 0.1262
Epoch: 34/100, Train Loss: 0.1136, Val Loss: 0.1339
Epoch: 35/100, Train Loss: 0.1075, Val Loss: 0.1151
Epoch: 36/100, Train Loss: 0.1181, Val Loss: 0.3299
Epoch: 37/100, Train Loss: 0.2891, Val Loss: 0.3275
Epoch: 38/100, Train Loss: 0.2029, Val Loss: 0.1522
Epoch: 39/100, Train Loss: 0.1461, Val Loss: 0.1589
Epoch: 40/100, Train Loss: 0.1394, Val Loss: 0.1143
Epoch: 41/100, Train Loss: 0.1206, Val Loss: 0.1175
Epoch: 42/100, Train Loss: 0.1164, Val Loss: 0.1222
Epoch: 43/100, Train Loss: 0.1147, Val Loss: 0.1247
Epoch: 44/100, Train Loss: 0.1024, Val Loss: 0.1194
Epoch: 45/100, Train Loss: 0.1025, Val Loss: 0.1131
Epoch: 46/100, Train Loss: 0.1298, Val Loss: 0.1183
Epoch: 47/100, Train Loss: 0.1082, Val Loss: 0.1257
Epoch: 48/100, Train Loss: 0.1039, Val Loss: 0.1205
Epoch: 49/100, Train Loss: 0.1083, Val Loss: 0.1127
Epoch: 50/100, Train Loss: 0.1016, Val Loss: 0.1125
Epoch: 51/100, Train Loss: 0.0961, Val Loss: 0.1062
Epoch: 52/100, Train Loss: 0.0898, Val Loss: 0.1183
Epoch: 53/100, Train Loss: 0.0903, Val Loss: 0.1119
Epoch: 54/100, Train Loss: 0.1044, Val Loss: 0.1079
Epoch: 55/100, Train Loss: 0.1112, Val Loss: 0.1154
Epoch: 56/100, Train Loss: 0.0957, Val Loss: 0.1116
Epoch: 57/100, Train Loss: 0.0905, Val Loss: 0.1194
Epoch: 58/100, Train Loss: 0.0976, Val Loss: 0.1617
Epoch: 59/100, Train Loss: 0.0938, Val Loss: 0.0999
Epoch: 60/100, Train Loss: 0.0889, Val Loss: 0.1001
Epoch: 61/100, Train Loss: 0.0877, Val Loss: 0.0941
Epoch: 62/100, Train Loss: 0.0911, Val Loss: 0.1054
Epoch: 63/100, Train Loss: 0.0928, Val Loss: 0.1247
Epoch: 64/100, Train Loss: 0.0906, Val Loss: 0.1070
Epoch: 65/100, Train Loss: 0.0899, Val Loss: 0.1008
Epoch: 66/100, Train Loss: 0.1258, Val Loss: 0.1143
Epoch: 67/100, Train Loss: 0.1224, Val Loss: 0.1048
Epoch: 68/100, Train Loss: 0.0947, Val Loss: 0.1046
Epoch: 69/100, Train Loss: 0.0910, Val Loss: 0.1162
Epoch: 70/100, Train Loss: 0.0848, Val Loss: 0.0964
Epoch: 71/100, Train Loss: 0.0863, Val Loss: 0.2048
